NAME,UMAP 1,UMAP 2,UMAP 3,UMAP 4,UMAP 5,UMAP 6,UMAP 7,UMAP 8,UMAP 9,UMAP 10,SMILES
ligand211,7.500427,5.1483994,4.0477967,3.7164001,2.7714376,3.0100255,4.090121,3.713992,4.0946493,2.8016663,CC(=O)CC(=O)C(C(F)(F)F)(F)F
ligand212,11.28224,8.491694,8.156787,7.792441,4.3862844,4.81439,6.095168,3.8744204,4.8469896,4.4466014,COC1=CC=C(C=C1)C(=O)CC(=O)C2=CC=C(C=C2)[N+](=O)[O-]
ligand213,6.7708063,6.104763,3.292456,3.8537028,4.9827414,3.192672,5.626448,3.34894,3.9714777,1.9913121,CCOC(=O)CC1C(=O)CCCC1=O
ligand214,7.656269,6.7487545,4.594703,5.0003247,5.2655873,3.4958298,6.1994085,3.3452446,4.151022,2.7726233,CC(C)(C)C(=O)CC(=O)C(C)(C)C
ligand215,7.1234636,4.275359,4.7980247,4.977566,4.9299483,3.668168,5.8752756,2.219392,5.5320354,4.1106524,CC(C)C(=O)CC(=O)COC
ligand216,7.0604606,5.830255,3.4655213,3.754546,4.159627,3.0631785,5.050502,3.432902,3.9743335,2.25007,C1=CC(=CC=C1C#N)C(=O)CC(=O)C(F)(F)F
ligand217,15.090742,2.290927,6.296976,4.558447,1.9220423,5.9450555,3.439454,1.6452249,8.581548,7.5591006,COC1=CC=CC(=C1)C(=O)CC(=O)C2=CC(=CC=C2)OC
ligand218,14.929827,2.3803077,6.5607214,4.8057747,2.1517372,5.933601,3.1286902,1.7647642,8.299173,7.531704,C1=CC=C(C=C1)C2=CC=C(C=C2)C(=O)CC(=O)C(F)(F)F
ligand219,6.1423187,5.675471,4.53224,4.9797144,4.985956,3.2141821,6.333672,3.6558137,3.9435349,3.4761288,CCOC(=O)C(=O)CC(=O)C1=CC=CC=C1OC
ligand22,7.956603,4.9390225,4.3235197,3.8982377,2.0648575,3.44737,3.8466089,3.7529912,4.216422,3.1327198,CCOC(=O)C(=O)CC(=O)C1=CC=C(C=C1)C#N
ligand220,11.313065,10.982419,5.669988,6.1880283,5.8451,4.6745076,5.0451894,5.08829,5.1054683,3.467041,CCC1=CC=C(C=C1)C(=O)CC(=O)C(F)(F)F
ligand221,13.831494,2.2573915,6.38007,4.7344317,1.642819,5.529038,4.0738807,2.2135334,8.610321,8.763414,CC(=O)C(C1=CC=NC=C1)C(=O)C
ligand222,11.149851,10.691959,6.0889206,6.423003,5.7748237,4.4259205,5.2620363,4.673397,4.890267,3.6683981,CC(=O)C(C(=O)C)OC
ligand223,13.171611,2.3349967,5.552851,4.8050227,0.5894488,5.9038024,4.418927,1.7101016,7.311806,8.723527,CSC1=CC=C(C=C1)C(=O)CC(=O)C(F)F
ligand224,11.181292,11.1620245,6.2136936,6.483559,5.653014,4.43356,5.0408993,5.225258,4.9135094,3.2250988,C(C(=O)C(F)(F)F)C(=O)C(F)(F)F
ligand225,9.356022,6.138743,6.0140333,5.90843,3.479355,4.4690967,5.4104013,1.9977981,4.893272,4.7187877,CC(C)(C)C(=O)CC(=O)C1CC1
ligand226,14.947761,2.032289,6.092624,4.619316,1.6814051,5.891948,3.3745134,1.825397,8.211947,7.672553,C1CCC(=O)C(C1)C(=O)C2=CC=C(C=C2)Cl
ligand227,11.140533,11.119037,5.908496,6.38713,5.677088,4.450475,5.19172,5.150999,4.8843174,3.547861,CCOC(C(=O)CC(=O)C)OCC
ligand228,14.499193,2.5468984,6.312524,4.881997,1.7321835,5.7779427,3.8218877,1.8458383,8.353047,8.018431,CCOC(=O)C(=O)C1CCC2=C(C1=O)C=CC(=C2)OC
ligand229,10.684493,9.235868,7.8787675,6.1587753,5.8362412,3.522988,5.8415008,3.2572806,4.5989904,4.2682877,CCC(C)C(=O)CC(=O)C
ligand23,6.8487916,5.4248047,3.9659026,3.93978,3.947708,3.208477,4.956343,3.4790356,4.247469,2.6488142,CC(=O)CC(=O)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F
ligand230,7.2356606,4.5148015,4.5920486,4.576468,5.566304,3.6902244,6.272261,2.2059367,5.2019496,3.6144686,CC(=O)C(CC1=CC=C(C=C1)Cl)C(=O)C
ligand231,13.701051,2.310109,6.33374,4.7784877,1.6425627,5.4194684,4.198925,2.2405636,8.584794,8.88156,CCC(=O)CC(=O)C1CC1
ligand232,12.852524,2.3483613,5.3699784,4.7887635,0.39267173,5.983745,4.579105,1.3637865,6.886654,8.797054,CC1=CC=C(C=C1)SC(C(=O)C)C(=O)C
ligand233,10.591879,9.6203575,7.578824,6.2902226,5.8113866,3.6438222,5.8538013,3.1557298,4.5024867,3.957784,CC(=O)CC(=O)C1=CC(=C(C=C1)Cl)Cl
ligand234,9.247582,6.878975,6.4040318,5.6642947,4.629145,3.8921978,5.637664,2.5175645,4.7189884,4.352822,C1=CSC(=C1)C(=O)CC(=O)C(F)(F)F
ligand236,6.9962835,6.076535,3.2615728,3.7463198,4.7142234,3.1041038,5.408555,3.3076856,3.9128497,1.9952604,COC(=O)C(=O)CC(=O)C1=CC(=CC=C1)Cl
ligand237,6.793408,6.2413993,3.5474985,3.9401333,4.4507127,3.2149606,5.293928,3.697603,3.9644759,1.9767843,COC1=CC(=CC(=C1OC)OC)C(=O)C2CCCCC2=O
ligand238,10.733186,9.684293,7.555738,6.4810047,5.7330585,3.72671,5.7890906,3.3136315,4.477339,3.8245382,CCOC(=O)C(=O)C1CCC(CC1=O)(C)C
ligand239,6.7251906,6.0266542,3.2883575,3.90897,5.1387525,3.188839,5.7844872,3.2716148,3.991866,2.0857012,CC1=NC=C(C=C1)C(=O)CC(=O)C
ligand24,9.545679,6.235818,6.157297,5.9156613,3.6694996,4.5024915,5.331057,1.9974436,5.034109,4.924989,CC(C)C(=O)CC(=O)C(=O)OC
ligand240,7.1241293,6.311078,3.5307992,3.9305868,4.5984654,3.178409,5.388137,3.450255,3.8955197,2.0260513,CC(=O)CC(C1C(=O)C2=CC=CC=C2C1=O)C3=CC=CC=C3
ligand241,9.36801,6.3067183,6.2714047,5.954526,3.6449864,4.365781,5.312411,1.9068512,4.952438,4.6120253,CCOC1=CC=C(C=C1)C(=O)CC(=O)C(F)(F)F
ligand242,11.041115,11.116847,6.895525,7.019229,5.2943754,4.0653143,5.151554,5.3523536,4.4728312,3.1478531,C1=CC=C(C=C1)C=CC(=O)CC(=O)C(F)(F)F
ligand243,8.857523,5.9886622,5.791141,5.401551,3.7973032,3.9257848,5.2878017,2.6079376,4.5982504,4.043424,CC1=C(C=C(C=C1)C(=O)CC(=O)C)C
ligand244,10.427302,9.642156,7.6476245,6.5221777,5.8573465,3.9871414,6.384683,3.0594585,4.284767,4.2569623,C1=COC(=C1)C2=C(C=C(C=C2)C(=O)CC(=O)C(F)(F)F)Cl
ligand245,13.509072,2.1443796,6.2863793,4.536195,1.2685993,5.567816,4.0546727,2.4406145,8.4795885,8.859965,CC(=O)CC(=O)C(F)(F)F
ligand246,9.183098,6.135739,5.9572787,5.8823476,3.3882923,4.4311724,5.3398786,1.999046,4.875108,4.5506086,C1OC2=C(O1)C=C(C=C2)C(=O)CC(=O)C(F)(F)F
ligand247,8.262228,6.352756,5.34232,5.2551064,4.8862605,3.7597291,5.9546456,2.7851965,4.6116967,3.547231,CC(=O)C1COC(=O)C1=O
ligand248,6.6787643,5.4976645,4.5574484,4.663102,4.2793756,3.3065562,5.507092,3.4731264,4.3045373,3.3819525,CCOC(=O)CCC(=O)CC(=O)C
ligand249,6.4065294,5.749858,4.28315,4.975354,6.0985737,3.3774388,6.955959,3.0376737,4.1413574,3.2651308,CCOC(=O)C(=O)CC(=O)C(OC)OC
ligand25,14.917719,2.3806207,6.763578,4.5485697,2.3686976,5.952349,2.8322616,1.9076817,8.490286,7.3979373,CCCCCC(=O)CC(=O)C1=CC=CC=C1
ligand250,7.146094,4.4262905,4.577954,4.6691947,5.438264,3.6600657,6.1547213,2.221293,5.2959404,3.7525458,CC1=CC=C(C=C1)C(=O)C(C)C(=O)C2=CC=C(C=C2)C
ligand251,11.11323,10.946707,6.9425087,6.967458,5.298379,4.1900053,5.2151084,5.2225842,4.5054092,3.276676,CC(=O)CC(=O)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
ligand252,9.488168,6.193762,6.0656595,6.013134,3.5078716,4.5705743,5.43101,1.9327589,4.972161,4.8395743,CCOC(=O)C(=O)CC(=O)C1=C(C=C(C=C1C)C)C
ligand253,6.6308904,5.9613934,4.258277,4.993987,6.1588,3.447471,6.9785676,2.9112144,4.267572,3.0850062,C1=CSC(=C1)C(=O)CC(=O)C(F)F
ligand254,7.087054,5.7733884,3.962495,3.9839025,3.3265052,3.2222025,4.445604,3.5578413,4.0687428,2.6487076,COC(=O)C(=O)CC(=O)C1=CC2=C(C=C1)OCO2
ligand255,7.220149,5.857778,4.634439,5.0336604,5.816493,3.599775,6.67507,2.7392955,4.638232,3.252155,CC(=O)C(C(=O)C)Cl
ligand256,12.7867365,2.3704865,5.417235,4.725844,0.5033747,5.9662642,4.62653,1.3125831,6.910425,8.772299,COC(=O)C(=O)CC(=O)C1=CC(=C(C=C1)Cl)Cl
ligand257,14.1198015,2.2657177,6.207548,4.805506,1.698042,5.6464224,4.043175,1.898611,8.434128,8.39315,CCCCCCC(=O)CC(=O)CCCCCC
ligand258,14.999829,2.4286397,6.1998086,4.750845,1.732662,5.871158,3.6351683,1.7498232,8.427888,7.689591,CC(=O)CC(=O)C(F)(F)Cl
ligand259,7.2635455,6.3794765,3.8178768,4.2024183,4.7104197,3.2419806,5.558004,3.4302125,3.9440315,2.2463381,CCOC1=CC=C(C=C1)C(=O)CC(=O)C(=O)OC
ligand26,14.961813,2.3891253,6.7812037,4.559167,2.2893503,5.95412,2.8955984,1.9482965,8.612926,7.5753427,CC1=CC(=C(C=C1Cl)F)C(=O)CC(=O)C(F)(F)F
ligand260,11.555933,8.849306,8.248964,7.709333,4.627582,4.729448,6.2618,3.7198985,4.524251,4.2017913,CCC1=CC=C(C=C1)C(=O)CC(=O)C(=O)OCC
ligand261,14.072518,2.219164,6.154671,4.779649,1.6443936,5.657974,4.0870066,1.879636,8.40376,8.428665,CCOC(=O)C(=O)C1COCCC1=O
ligand262,6.54684,5.452652,4.616899,4.819889,4.528617,3.2806323,5.8075886,3.4904974,4.2752404,3.522978,CC(=O)C(C(=O)C)SC1=CC=C(C=C1)[N+](=O)[O-]
ligand263,7.191883,4.4815726,4.663649,4.5343194,5.577881,3.6799085,6.3469663,2.2256563,5.306451,3.5674775,CC(=O)C(C(=O)C)SCC1=CC=CC=C1
